Facility Name,DBA,State ID,Facility Type,Address,City,County,State,Zipcode,Administrator Name,Inspection Results and Facility Details,Phone
MCCRITE PLAZA HEALTH CENTER,,N089010,Nursing Facility,1610 SW 37TH STREET,TOPEKA,SHAWNEE,KS,66611-2564,CONNER BIGHAM,Inspection Results and Facility Details,785-267-2960
MCCRITE RETIREMENT ASSISTED LIVING,,N089047, Assisted Living Facility,1608 SW 37TH STREET,TOPEKA,SHAWNEE,KS,66611-2564,PATRICK I MCCRITE,Inspection Results and Facility Details,785-267-2960
MCPHERSON OPERATOR LLC,MCPHERSON HEALTH AND REHAB,N059004,Nursing Facility,1601 N MAIN,MCPHERSON,MCPHERSON,KS,67460,STACIE MOSES,Inspection Results and Facility Details,620-241-5360
"MEADE DISTRICT HOSP LTCU, DBA LONE TREE RETIREMENT",,H060101,Long Term Care Unit,801 E. GRANT,MEADE,MEADE,KS,67864,DARCY HOWARD,Inspection Results and Facility Details,620-873-2146
MEADOWBROOK REHABILITATION HOSPITAL,,H046101-2,Nursing Facility,427 W. MAIN STREET,GARDNER,JOHNSON,KS,66030-1183,MUSU JAWARA,Inspection Results and Facility Details,913-856-8747
MEDICALODGES ARKANSAS CITY,,N018003,Nursing Facility,203 E. OSAGE AVENUE,ARKANSAS CITY,COWLEY,KS,67005-1255,MY'OSHIA KNOX,Inspection Results and Facility Details,620-442-9300
MEDICALODGES ATCHISON,,N003002,Nursing Facility,1637 RILEY STREET,ATCHISON,ATCHISON,KS,66002-1514,SHAWNA HOSCHOUER,Inspection Results and Facility Details,913-367-6066
MEDICALODGES COLUMBUS,,N011003,Nursing Facility<BR> Residential Health Care Facility,"101 LEE AVENUE, PO BOX 351",COLUMBUS,CHEROKEE,KS,66725-351,AMY HIGGINS,Inspection Results and Facility Details,620-429-2134
MEDICALODGES EUDORA,,N023003,Nursing Facility,1415 MAPLE,EUDORA,DOUGLAS,KS,66025-400,CHERYL HOOVER,Inspection Results and Facility Details,785-542-2176
MEDICALODGES FORT SCOTT,,N006002,Nursing Facility,"915 SOUTH HORTON, P. O. BOX 510",FORT SCOTT,BOURBON,KS,66701,ELIGIA JACKIE RAIO,Inspection Results and Facility Details,620-223-0210
MEDICALODGES FRONTENAC,,N019007,Nursing Facility,206 S. DITTMANN STREET,FRONTENAC,CRAWFORD,KS,66763-2299,MICHAEL D. RICKS,Inspection Results and Facility Details,620-231-7340
MEDICALODGES GODDARD,,N087012,Nursing Facility<BR> Residential Health Care Facility,501 EASY STREET,GODDARD,SEDGWICK,KS,67052-9235,JEAN M. ALTENOR,Inspection Results and Facility Details,316-794-8635
MEDICALODGES GREAT BEND,,N005001,Nursing Facility,1401 CHERRY LANE,GREAT BEND,BARTON,KS,67530,BRIAN GRIFFITHS,Inspection Results and Facility Details,620-792-2165
MEDICALODGES INDEPENDENCE,,N063017,Nursing Facility,1000 MULBERRY  P.O. BOX 627,INDEPENDENCE,MONTGOMERY,KS,67301,MEGAN LAWRENCE,Inspection Results and Facility Details,620-331-8789
MEDICALODGES KINSLEY,,N024001,Nursing Facility<BR> Residential Health Care Facility,620 WINCHESTER AVE,KINSLEY,EDWARDS,KS,67547,ANGELA DREILING,Inspection Results and Facility Details,620-659-2156
MEDICALODGES LEAVENWORTH,,N052003,Nursing Facility,1503 OHIO ST,LEAVENWORTH,LEAVENWORTH,KS,66048-2932,SHAWNA HOSCHOUER,Inspection Results and Facility Details,913-772-1844
MEDICALODGES PAOLA,,N061002,Mental Health Nursing Facility,501 ASSEMBLY LANE,PAOLA,MIAMI,KS,66071-1854,ALIEU JALLOW,Inspection Results and Facility Details,913-294-3345
MEDICALODGES PITTSBURG,,N019004,Nursing Facility,2520 S ROUSE ST,PITTSBURG,CRAWFORD,KS,66762-6605,TODD STEWART,Inspection Results and Facility Details,620-231-0300
MEDICALODGES POST ACUTE CARE CENTER,,N105008,Nursing Facility,6500 GREELEY AVE,KANSAS CITY,WYANDOTTE,KS,66104-2647,CAMERON B. SECK,Inspection Results and Facility Details,913-334-0200
MEDICALODGES WICHITA,,N087021,Nursing Facility,2280 S MINNEAPOLIS AVE,WICHITA,SEDGWICK,KS,67211-5398,RHODY BROWN,Inspection Results and Facility Details,316-265-5693
MEMORIAL HOSPITAL LTCU (VILLAGE MANOR),,H021103,Nursing Facility,705 N BRADY STREET,ABILENE,DICKINSON,KS,67410-,ANDREW W. SUTTER,Inspection Results and Facility Details,785-263-1431
MEMORIAL LIVING CENTER,,N094001, Assisted Living Facility,102 E LANE DR,JOHNSON,STANTON,KS,67855,MARICELA GOMEZ,Inspection Results and Facility Details,620-492-2356
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 4,B046079,Home Plus,12630 W 137TH ST,OVERLAND PARK,JOHNSON,KS,662214129,JUDY BAXTER,Inspection Results and Facility Details,913-318-1884
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 2,B046077,Home Plus,12650 W 137TH ST,OVERLAND PARK,JOHNSON,KS,66221 4129,JUDY BAXTER,Inspection Results and Facility Details,913-318-1882
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 3,B046078,Home Plus,12640 W 137TH ST,OVERLAND PARK,JOHNSON,KS,66221 4129,JUDY BAXTER,Inspection Results and Facility Details,913-318-1883
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 5,B046080,Home Plus,12600 W 137TH ST,OVERLAND PARK,JOHNSON,KS,66221-4129,JUDY BAXTER,Inspection Results and Facility Details,913-318-1885
MEMORY VILLAGE OF OVERLAND PARK LLC,MAGGIE'S PLACE AT COLONIAL VILLAGE BUILDING 1,B046076,Home Plus,12620 W 137TH ST,OVERLAND PARK,JOHNSON,KS,662214129,JUDY BAXTER,Inspection Results and Facility Details,913-318-1881
MENNONITE FRIENDSHIP COMMUNITIES INC,,N078005,Nursing Facility<BR> Assisted Living Facility,600 W BLANCHARD AVE,SOUTH HUTCHINSON,RENO,KS,67505-1526,DAWN E. VEH,Inspection Results and Facility Details,620-663-7175
MERIDIAN REHABILITATION & HEALTH CARE CENTER,,N087003,Nursing Facility,1555 N. MERIDIAN STREET,WICHITA,SEDGWICK,KS,67203-1998,RODNEY CLOSE,Inspection Results and Facility Details,316-942-8471
MI CASA CARE HOMES LLC,,B008007,Home Plus,521 MAIN ST,TOWANDA,BUTLER,KS,67144,MONICA MORALES,Inspection Results and Facility Details,316-258-3111
MIAMI PLACE,,N007008,Intermediate Care Facility for Individuals with Intellectual Disability STATE ONLY,402 MIAMI ST,HIAWATHA,BROWN,KS,66434-2023,"LORETTA TORRES, DIRECTOR/QMRP",Inspection Results and Facility Details,785-742-3556
MIDLAND CARE RESIDENTIAL CENTER,,N089043, Residential Health Care Facility<BR>Adult Day Care,120 SW FRAZIER CIR,TOPEKA,SHAWNEE,KS,66606-2800,LAYLA SULLIVAN,Inspection Results and Facility Details,785-232-2044
MINNEAPOLIS HEALTHCARE AND REHABILITATION CENTER LLC,MINNEAPOLIS HEALTHCARE AND REHABILITATION CENTER,N072002,Nursing Facility,815 N ROTHSAY STREET,MINNEAPOLIS,OTTAWA,KS,67467-1622,KATHRYN ATWELL,Inspection Results and Facility Details,785-392-2162
MINNEOLA DISTRICT HOSPITAL LTCU,,H013102,Long Term Care Unit,"207 CHESTNUT STREET, PO BOX 10",MINNEOLA,CLARK,KS,67865,ASHLEY BOYD,Inspection Results and Facility Details,620-885-4238
MISSION CHATEAU SENIOR LIVING COMMUNITY,,N046101, Residential Health Care Facility,4100 W 85TH ST,PRAIRIE VILLAGE,JOHNSON,KS,66206,A MILES NEASE,Inspection Results and Facility Details,913-490-7100
MISSION SPRINGS OPCO LLC,TRUSTWELL LIVING OF MISSION SPRINGS II,N046044, Assisted Living Facility,5350 WEST 61ST PLACE,MISSION,JOHNSON,KS,66205-,ALYSON KRISTENSEN,Inspection Results and Facility Details,913-831-7700
MISSION SPRINGS OPCO LLC,TRUSTWELL LIVING OF MISSION SPRINGS I,N046042, Assisted Living Facility<BR> Residential Health Care Facility,5300 W 61ST PLACE,MISSION,JOHNSON,KS,66205-,SARAJO HETHERITON,Inspection Results and Facility Details,913-831-7700
MITCHELL COUNTY HOSPITAL HEALTH SYSTEMS LTCU,,H062101,Nursing Facility,400 W. 8TH STREET,BELOIT,MITCHELL,KS,67420-1605,JANELLE KIRCHER,Inspection Results and Facility Details,785-738-9590
ML-OP COFFEYVILLE LLC,MEDICALODGES COFFEYVILLE ON MIDLAND,N063010,Nursing Facility,2921 W 1ST STREET,COFFEYVILLE,MONTGOMERY,KS,67337,DONNA M. SNIDER,Inspection Results and Facility Details,620-251-5190
ML-OP IOLA LLC,MEDICALODGES IOLA,N001002,Nursing Facility,600 E GARFIELD ST,IOLA,ALLEN,KS,66749-2034,TRACY BARTLEY,Inspection Results and Facility Details,620-365-3183
MONTEREY VILLAGE,,N023022, Assisted Living Facility,3901 PETERSON ROAD,LAWRENCE,DOUGLAS,KS,66049,BRITTE EVERLY,Inspection Results and Facility Details,573-471-1113
MONTGOMERY PLACE NURSING CENTER,,N063008,Nursing Facility,614 S. 8TH STREET,INDEPENDENCE,MONTGOMERY,KS,67301-4299,MALLORY BYRD,Inspection Results and Facility Details,620-331-2577
MORAN MANOR,,N001003,Nursing Facility,3940 US HWY 54,MORAN,ALLEN,KS,66755,DELLA RIBORDY,Inspection Results and Facility Details,620-237-4300
MORNINGSIDE PLACE,,N046083, Residential Health Care Facility,6921 W. 81ST STREET,OVERLAND PARK,JOHNSON,KS,66204,HOWARD TURLEY,Inspection Results and Facility Details,913-901-8500
"MORNINGSTAR CARE HOMES OF BALDWIN CITY, LLC",MORNINGSTAR CARE HOMES ELM ST,B023014,Home Plus,232 ELM STREET,BALDWIN CITY,DOUGLAS,KS,66006-4120,AMY WISCOMBE,Inspection Results and Facility Details,785-594-2603
"MORNINGSTAR CARE HOMES OF BALDWIN CITY, LLC",MORNINGSTAR CARE HOMES DUNNS VISTA,B023020,Home Plus,424 WASHINGTON STREET,BALDWIN CITY,DOUGLAS,KS,66006,AMY WISCOMBE,Inspection Results and Facility Details,785-594-2603
"MORTON COUNTY SENIOR LIVING CENTER, LTD",MORTON COUNTY SENIOR LIVING,N065004, Assisted Living Facility,500 4TH STREET,ELKHART,MORTON,KS,67950,KAREN MORELAND,Inspection Results and Facility Details,620-697-2141
MOUNDRIDGE MANOR,,N059003,Nursing Facility,710 N. CHRISTIAN AVENUE,MOUNDRIDGE,MCPHERSON,KS,67107-800,KEVIN WADE UNRUH,Inspection Results and Facility Details,620-345-6364
MOUNT ST MARY,,N087085,Nursing Facility<BR> Assisted Living Facility,3700 E LINCOLN STREET,WICHITA,SEDGWICK,KS,67218-2008,MICHAEL J. RAJEWSKI,Inspection Results and Facility Details,316-686-7171
MTM BOARDING CARE HOME,,B059005,Boarding Care Home,101 N. MAXWELL STREET,MCPHERSON,MCPHERSON,KS,67460-4509,MARLA TOLBERT,Inspection Results and Facility Details,620-241-4671
NEODESHA OPERATOR LLC,NEODESHA CARE AND REHABILITATION CENTER,N103003,Nursing Facility,1626 NORTH EIGHTH STREET,NEODESHA,WILSON,KS,66757,BRANDI DIXON,Inspection Results and Facility Details,620-325-3088
"NESS COUNTY HOSPITAL LTCU, DBA CEDAR VILLAGE",,H068101,Long Term Care Unit,312 E. CUSTER STREET,NESS CITY,NESS,KS,67560-1654,JOHN CLARKE,Inspection Results and Facility Details,785-798-2291
NEW LIFE HOME PLUS LLC,,B087239,Home Plus,1214 N CHARLOTTE STREET,WICHITA,SEDGWICK,KS,67208,ARNOT MUNGUYA,Inspection Results and Facility Details,316-247-2209
NH INVESTORS LLC,NEUVANT HOUSE OF LAWRENCE,N023021, Residential Health Care Facility,1216 BILTMORE DRIVE,LAWRENCE,DOUGLAS,KS,66049,TIFFANY A BRUBAKER,Inspection Results and Facility Details,785-856-7900
NORTH MULBERRY PLACE,,N056015,Intermediate Care Facility for Individuals with Intellectual Disability STATE ONLY,702 MULBERRY,NEOSHO RAPIDS,LYON,KS,66864-8752,LORETTA TORRES,Inspection Results and Facility Details,620-343-9341
NORTH POINT SKILLED NURSING CENTER,,N061001,Nursing Facility,908 N. PEARL STREET,PAOLA,MIAMI,KS,66071-1140,HOLLY HESS,Inspection Results and Facility Details,913-294-4308
OAK CREEK SENIOR CARE,,N089002, Residential Health Care Facility,3224 SW 29TH STREET,TOPEKA,SHAWNEE,KS,66614,WINONA K. KEGIN,Inspection Results and Facility Details,785-272-2601
OAKLEY PLACE #1,,B089081,Home Plus,618 SW OAKLEY,TOPEKA,SHAWNEE,KS,66604,MANDY TINCH,Inspection Results and Facility Details,785-221-7740
OAKLEY PLACE #2,,B089082,Home Plus,"618 SW OAKLEY AVENUE, SUITE B",TOPEKA,SHAWNEE,KS,66606,MANDY TINCH,Inspection Results and Facility Details,785-221-7740
OAKLEY PLACE OF ROSSVILLE,,B089089,Home Plus,590 INDUSTRIAL TRAFFICWAY,ROSSVILLE,SHAWNEE,KS,66533,KIM GILLUM,Inspection Results and Facility Details,785-584-6075
OAKVIEW ESTATES,,N019014, Residential Health Care Facility,316 WICKWARE DRIVE,FRONTENAC,CRAWFORD,KS,66763-2202,MELISSA BROWN,Inspection Results and Facility Details,620-232-3555
"OLATHE SENIOR COMMUNITY, LLC",THE CRESTONE SENIOR LIVING,N046109, Assisted Living Facility<BR> Residential Health Care Facility,21810 W. 119TH STREET,OLATHE,JOHNSON,KS,66061,MADISON PARKER,Inspection Results and Facility Details,913-600-2250
"OLATHE SLP, LLC",BENTON HOUSE OF OLATHE,N046104, Assisted Living Facility,15700 W 151ST STREET,OLATHE,JOHNSON,KS,66062-3059,CHELSEA BRITTAIN,Inspection Results and Facility Details,913-490-0990
ONAGA OPERATOR LLC,ONAGA HEALTH AND REHAB,N075001,Nursing Facility,500 WESTERN STREET,ONAGA,POTTAWATOMIE,KS,66521,LISA JONES,Inspection Results and Facility Details,785-889-4227
OPEN ARMS HOME PLUS LLC,OPEN ARMS HOME PLUS,B087265,Home Plus<BR>Adult Day Care,649 N STRATFORD LN,WICHITA,SEDGWICK,KS,67206-1529,CAMERON LEBRON,Inspection Results and Facility Details,316-516-9801
ORCHARD GARDENS LLC,ADVENA LIVING ON WOODLAWN,N087052,Nursing Facility,1600 S WOODLAWN BLVD,WICHITA,SEDGWICK,KS,67218-4728,CHRISTINE GRIZZLE,Inspection Results and Facility Details,316-691-9999
OSAGE NURSING AND REHABILITATION CENTER,,N070003,Nursing Facility,1017 MAIN STREET,OSAGE CITY,OSAGE,KS,66523-1256,,Inspection Results and Facility Details,785-528-3138
OSAGE VALLEY HEALTHCARE LLC,HILLSIDE VILLAGE OF DE SOTO REHABILITATION AND NURSING CENTER,N046064,Nursing Facility<BR> Assisted Living Facility,33600 W. 85TH STREET,DESOTO,JOHNSON,KS,66018,DAVE NORTON,Inspection Results and Facility Details,913-583-1266
OSWEGO OPERATOR LLC,OSWEGO HEALTH AND REHAB,N050004,Nursing Facility,1104 OHIO STREET,OSWEGO,LABETTE,KS,67356-9059,SHARLA HOPPER,Inspection Results and Facility Details,620-795-4429
OTTAWA HEALTHCARE LLC,ROCK CREEK OF OTTAWA,N030005,Nursing Facility<BR> Residential Health Care Facility<BR> Assisted Living Facility,1100 W. 15TH STREET,OTTAWA,FRANKLIN,KS,66067-3929,STEPHANIE ANDERSON,Inspection Results and Facility Details,785-242-5399
OVERLAND PARK OPCO LLC,TRUSTWELL LIVING OF OVERLAND PARK,N046050, Residential Health Care Facility,10665 BARKLEY,OVERLAND PARK,JOHNSON,KS,66212-,SCOTT JACKSON,Inspection Results and Facility Details,913-642-5400
"OXFORD DERBY MEMORY CARE, LLC",GLEN CARR HOUSE,N087073, Residential Health Care Facility,1433 N. HAMILTON DRIVE,DERBY,SEDGWICK,KS,67037,KATY DICKENS,Inspection Results and Facility Details,316-788-9999
OXFORD VISTA SENIOR LIVING LLC,OXFORD VISTA SENIOR LIVING,N087088, Assisted Living Facility,402 S MARTINSON STREET,WICHITA,SEDGWICK,KS,67213,CHARLOTTE CLAAR,Inspection Results and Facility Details,316-613-3570
PARAMOUNT COMMUNITY LIVING AND REHAB INC,,N040002,Nursing Facility<BR> Assisted Living Facility<BR> Residential Health Care Facility,200 SW 14TH STREET,NEWTON,HARVEY,KS,67114,GRETCHEN SAPP,Inspection Results and Facility Details,316-283-4770
PARK LANE NURSING HOME,,N086001,Nursing Facility<BR> Residential Health Care Facility,210 E. PARK LANE,SCOTT CITY,SCOTT,KS,67871,KARYN HENDRIX,Inspection Results and Facility Details,620-872-5871
PARK MEADOWS MEMORY CARE,,N046087, Residential Health Care Facility,5951 W. 107TH STREET,OVERLAND PARK,JOHNSON,KS,66207-3882,ASHLEIGH SAYLES,Inspection Results and Facility Details,913-901-8200
PARK MEADOWS SENIOR LIVING,,N046077, Assisted Living Facility,5901 W. 107TH STREET,OVERLAND PARK,JOHNSON,KS,66207-3851,THOMAS INDERHEES,Inspection Results and Facility Details,913-901-8200
PARK VILLA,,N015005,Nursing Facility,114 S. HIGH STREET,CLYDE,CLOUD,KS,66938-9472,ABIGAIL SCHMIDT,Inspection Results and Facility Details,785-446-2818
PARK WEST PLAZA,,N087046,Nursing Facility STATE ONLY<BR> Assisted Living Facility,505 N. MAIZE ROAD,WICHITA,SEDGWICK,KS,67212,KC ARNOLD,Inspection Results and Facility Details,316-729-4114
PARKSIDE HOMES,,N057004,Nursing Facility<BR> Assisted Living Facility,200 WILLOW ROAD,HILLSBORO,MARION,KS,67063-1904,STEPHANIE BRYANT,Inspection Results and Facility Details,620-947-2301
PARKVIEW HEALTH AND REHABILITATION CENTER LLC,PARKVIEW HEALTH AND REHABILITATION CENTER,N071002,Nursing Facility,811 N. FIRST STREET  PO BOX 247,OSBORNE,OSBORNE,KS,67473,DAVID C HANEKE,Inspection Results and Facility Details,785-346-2114
PARKVIEW HEIGHTS NURSING AND REHABILITATION CENTER LLC,PARKVIEW HEIGHTS NURSING AND REHABILITATION CENTER,N002002,Nursing Facility,101 N. PINE STREET,GARNETT,ANDERSON,KS,66032-1199,CASEY NICHOLE KARNES,Inspection Results and Facility Details,785-448-2434
PARKWAY OPERATOR LLC,PARKWAY CARE AND REHABILITATION CENTER,N105010,Nursing Facility,749 BLAKE STREET,EDWARDSVILLE,WYANDOTTE,KS,66111-1338,ALISON DE JONG,Inspection Results and Facility Details,913-422-5952
PARKWOOD VILLAGE,,N076003, Assisted Living Facility,401 ROCHESTER,PRATT,PRATT,KS,67124-2900,SHARON WILL,Inspection Results and Facility Details,620-672-5541
PEABODY OPERATOR LLC,PEABODY HEALTH AND REHAB,N057005,Nursing Facility<BR> Residential Health Care Facility,407 N LOCUST STREET,PEABODY,MARION,KS,66866,CHRISTOPHER CROCKER,Inspection Results and Facility Details,620-983-2152
PEGGY KELLY HOUSE I,,N089033, Residential Health Care Facility,2111 SW RANDOLPH AVENUE,TOPEKA,SHAWNEE,KS,66611,JESSICA DESILETS,Inspection Results and Facility Details,785-234-8888
PEGGY KELLY HOUSE II,,N089034, Residential Health Care Facility,1800 FAIRMONT ROAD,TOPEKA,SHAWNEE,KS,66604-3699,JESSICA DESILETS,Inspection Results and Facility Details,785-271-9594
PENNSYLVANIA PLACE,,N043003,Intermediate Care Facility for Individuals with Intellectual Disability STATE ONLY,925 PENNSYLVANIA AVE,HOLTON,JACKSON,KS,66436-1855,"LORETTA TORRES, DIRECTOR/QMRP",Inspection Results and Facility Details,785-364-4643
PENTA I LLC,DOVE ESTATES MEMORY HAVEN,N087087, Residential Health Care Facility,1500 S 183RD ST W,GODDARD,SEDGWICK,KS,67052,KEVIN FRYMIRE,Inspection Results and Facility Details,316-550-6383
PETERSON ASSISTED LIVING LLC,PETERSON ASSISTED LIVING,N070007, Assisted Living Facility,629 HOLLIDAY STREET,OSAGE CITY,OSAGE,KS,66523-1138,PATRICIA GUNDY,Inspection Results and Facility Details,785-528-3301
PHILLIPS COUNTY RETIREMENT CENTER,,N074003,Nursing Facility<BR> Assisted Living Facility,"1300 STATE STREET, PO BOX 628",PHILLIPSBURG,PHILLIPS,KS,67661-628,NATHAN GLENDENING,Inspection Results and Facility Details,785-543-2131
PINE VILLAGE,,N059002,Nursing Facility<BR> Residential Health Care Facility,86 22ND AVENUE,MOUNDRIDGE,MCPHERSON,KS,67107,ERIC SCHRAG,Inspection Results and Facility Details,620-345-2901
PIONEER LODGE,,N017001,Nursing Facility,300 W 3RD PO BOX 487,COLDWATER,COMANCHE,KS,67029,DIANA THOMPSON,Inspection Results and Facility Details,620-582-2123
PIONEER RIDGE RETIREMENT COMMUNITY,,N023019,Nursing Facility<BR> Assisted Living Facility,4851 HARVARD ROAD,LAWRENCE,DOUGLAS,KS,66049-3964,JOSEPH SHULL,Inspection Results and Facility Details,785-749-2000
PITTSBURG OPERATOR LLC,PITTSBURG CARE AND REHABILITATION CENTER,N019003,Nursing Facility,1005 E CENTENNIAL DRIVE,PITTSBURG,CRAWFORD,KS,66762-6603,WHITNEY BUCKLE,Inspection Results and Facility Details,620-231-1120
PLATINUM CARE HOMES,,B087203,Home Plus,5701 E. 17TH NORTH,WICHITA,SEDGWICK,KS,67208,PAULA D MACK,Inspection Results and Facility Details,316-618-0584
PLEASANT HILLS,,B078030,Home Plus,2500 PLEASANT HILLS PARKWAY,HUTCHINSON,RENO,KS,67502,TONI RHEA,Inspection Results and Facility Details,620-665-6639
PLEASANT VALLEY MANOR,,N010002,Nursing Facility,"623 E. ELM, PO BOX 40",SEDAN,CHAUTAUQUA,KS,67361-1406,KATHRYN HATTEN,Inspection Results and Facility Details,620-725-3153
PLEASANT VIEW HOME,,N059006,Nursing Facility,"108 N. WALNUT, PO BOX 249",INMAN,MCPHERSON,KS,67546-0249,MICHELLE NEUFELD,Inspection Results and Facility Details,620-585-6411
PNC GROUP LLC,ADVANCED CARE HOME PLUS,B087221,Home Plus,5501 POLO DRIVE,WICHITA,SEDGWICK,KS,67208-2753,DEREK HAMMOND,Inspection Results and Facility Details,316-806-9242
PRAIRIE ELDER HOMES LLC,PRAIRIE ELDER DAY PROGRAM,B046071,Adult Day Care,10034 W 151ST ST,OVERLAND PARK,JOHNSON,KS,66221,MICHALA GIBSON,Inspection Results and Facility Details,913-626-5515
PRAIRIE HOMESTEAD ASSISTED LIVING,,N087062, Assisted Living Facility,1601 W. MAY STREET,WICHITA,SEDGWICK,KS,67213,BRENDA JANDA,Inspection Results and Facility Details,316-263-8264
PRAIRIE MISSION RETIREMENT VILLAGE,,N067007,Nursing Facility<BR> Assisted Living Facility,242 CARROLL STREET,SAINT PAUL,NEOSHO,KS,66771-9802,MELINDA EWAN,Inspection Results and Facility Details,620-449-2400
PRAIRIE RIDGE HEALTH & REHABILITATION LLC,PRAIRIE RIDGE HEALTH & REHABILITATION,N046026,Nursing Facility,6501 W 75TH STREET,OVERLAND PARK,JOHNSON,KS,66204-3019,BRIANNA COZZITORTO,Inspection Results and Facility Details,913-383-9866
PRAIRIE SUNSET HOME,,N078017,Nursing Facility<BR> Assisted Living Facility,601 E. MAIN STREET,PRETTY PRAIRIE,RENO,KS,67570,"AARON D. KELLEY, JR.",Inspection Results and Facility Details,620-459-6822
PRAIRIE WIND SENIOR LIVING,,B089084,Home Plus,5227 SE 77TH STREET,BERRYTON,SHAWNEE,KS,66409,BROOKE FISCHER,Inspection Results and Facility Details,785-862-5318
PRATT OPERATOR LLC,PRATT HEALTH AND REHAB,N076002,Nursing Facility,1221 LARIMER STREET,PRATT,PRATT,KS,67124-1241,SUSAN K. BILLINGER,Inspection Results and Facility Details,620-672-6541
PRECIOUS GEMS HOMES PLUS LLC,PRECIOUS GEMS HOMES  AT POLO DR,B087116,Home Plus,5502 POLO DRIVE,WICHITA,SEDGWICK,KS,67208,SYREETA DWEH CHENNEH,Inspection Results and Facility Details,602-921-1189
PREMIER LIVING BY WARDEN LLC,,B087119,Home Plus,234 S ANNA STREET,WICHITA,SEDGWICK,KS,67209-2404,BRANDI WARDEN,Inspection Results and Facility Details,316-945-2028
PREMIER LIVING BY WARDEN LLC 4,,B087142,Home Plus,1229 S BYRON ROAD,WICHITA,SEDGWICK,KS,67209,BRANDI WARDEN,Inspection Results and Facility Details,316-945-2028
PRESBYTERIAN MANORS INC,ABERDEEN VILLAGE,N046057,Nursing Facility<BR> Assisted Living Facility,17500 W 119TH STREET,OLATHE,JOHNSON,KS,66061,JOHN T ALLIN,Inspection Results and Facility Details,913-599-6100
PRESBYTERIAN MANORS INC,EMPORIA PRESBYTERIAN MANOR,N056006,Nursing Facility<BR> Assisted Living Facility,2300 INDUSTRIAL ROAD,EMPORIA,LYON,KS,66801-6636,MEGAN Y SANDOVAL,Inspection Results and Facility Details,620-343-2613
PRESBYTERIAN MANORS INC,FORT SCOTT PRESBYTERIAN VILLAGE,N006005, Assisted Living Facility,2401 S HORTON STREET,FORT SCOTT,BOURBON,KS,66701-3196,MARLA HECKMAN,Inspection Results and Facility Details,620-223-5550
PRESBYTERIAN MANORS INC,WICHITA PRESBYTERIAN MANOR,N087023,Nursing Facility<BR> Residential Health Care Facility<BR> Assisted Living Facility,4700 W. 13TH STREET NORTH,WICHITA,SEDGWICK,KS,67212-5599,JENNA BEILMAN,Inspection Results and Facility Details,316-942-7456
PRESBYTERIAN MANORS INC,PARSONS PRESBYTERIAN MANOR,N050005,Nursing Facility<BR> Assisted Living Facility,3501 DIRR AVENUE,PARSONS,LABETTE,KS,67357-2298,CRYSTAL LYNNE PACKARD,Inspection Results and Facility Details,620-421-1450
PRESBYTERIAN MANORS INC,ARKANSAS CITY PRESBYTERIAN MANOR,N018008,Nursing Facility<BR> Assisted Living Facility,1711 N. 4TH STREET,ARKANSAS CITY,COWLEY,KS,67005-1607,VIRGINIA MYERS,Inspection Results and Facility Details,620-442-8700
PRESBYTERIAN MANORS INC,SALINA PRESBYTERIAN MANOR,N085005,Nursing Facility<BR> Residential Health Care Facility<BR> Assisted Living Facility,2601 E. CRAWFORD STREET,SALINA,SALINE,KS,67401-3791,MELISSA MARIE BRUMBAUGH,Inspection Results and Facility Details,785-825-1366
PRESBYTERIAN MANORS INC,CLAY CENTER PRESBYTERIAN MANOR,N014001,Nursing Facility<BR> Residential Health Care Facility,924 EIGHTH ST,CLAY CENTER,CLAY,KS,67432-2620,AMY HOCH ALTWEGG,Inspection Results and Facility Details,785-632-5646
PRESBYTERIAN MANORS INC,MANOR OF THE PLAINS,N029005,Nursing Facility<BR> Assisted Living Facility,200 CAMPUS DR,DODGE CITY,FORD,KS,67801-2706,TAMMY LEE THOMPSON,Inspection Results and Facility Details,620-225-1928
PRESBYTERIAN MANORS INC,LAWRENCE PRESBYTERIAN MANOR,N023005,Nursing Facility<BR> Residential Health Care Facility,1429 KASOLD DR,LAWRENCE,DOUGLAS,KS,66049-3425,DESIDERATA FLERLAGE,Inspection Results and Facility Details,785-841-4262
PRESBYTERIAN MANORS INC,NEWTON PRESBYTERIAN MANOR,N040005,Nursing Facility<BR> Assisted Living Facility,1200 E. 7TH STREET,NEWTON,HARVEY,KS,67114-2862,EMILY ROSE TRASK,Inspection Results and Facility Details,316-283-5400
PRESBYTERIAN MANORS INC,TOPEKA PRESBYTERIAN MANOR,N089018,Nursing Facility<BR> Residential Health Care Facility,4712 SW 6TH AVE,TOPEKA,SHAWNEE,KS,66606-2299,CHRISTIE LYNN PATRICK,Inspection Results and Facility Details,785-272-6510
PROTECTION VALLEY MANOR,,N017002,Nursing Facility,"600 S BROADWAY, PO BOX 448",PROTECTION,COMANCHE,KS,67127,SANDRA CLINE,Inspection Results and Facility Details,620-622-4261
